FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E06000058,2015,Rank of scale,,44,b. Income Deprivation Domain
E09000012,2015,Rank of extent,,11,a. Index of Multiple Deprivation (IMD)
E07000073,2015,Rank of scale,,196,c. Employment Deprivation Domain
E09000012,2015,Extent,,0.52,a. Index of Multiple Deprivation (IMD)
E06000001,2015,Scale,,11140,c. Employment Deprivation Domain
E06000003,2015,Scale,,27506,b. Income Deprivation Domain
E09000005,2015,Rank of scale,,23,b. Income Deprivation Domain
E06000044,2015, Local concentration,,31897,a. Index of Multiple Deprivation (IMD)
E06000045,2015,Rank of scale,,67,b. Income Deprivation Domain
E07000124,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000117,2015,Rank of scale,,131,c. Employment Deprivation Domain
E07000070,2015,Rank of local concentration,,209,a. Index of Multiple Deprivation (IMD)
E07000070,2015,Rank of extent,,214,a. Index of Multiple Deprivation (IMD)
E07000124,2015,Scale,,2195,c. Employment Deprivation Domain
E07000207,2015,Rank of local concentration,,290,a. Index of Multiple Deprivation (IMD)
E07000207,2015,Scale,,8421,b. Income Deprivation Domain
E06000058,2015,Scale,,47541,b. Income Deprivation Domain
E06000001,2015,Extent,,0.46,a. Index of Multiple Deprivation (IMD)
E08000037,2015,Scale,,19319,c. Employment Deprivation Domain
E07000169,2015,Rank of scale,,267,c. Employment Deprivation Domain
E07000197,2015,Scale,,6416,c. Employment Deprivation Domain
E07000126,2015,Rank of local concentration,,199,a. Index of Multiple Deprivation (IMD)
E08000033,2015,Extent,,0.25,a. Index of Multiple Deprivation (IMD)
E09000006,2015,Scale,,15953,c. Employment Deprivation Domain
E07000209,2015,Rank of local concentration,,266,a. Index of Multiple Deprivation (IMD)
E09000006,2015,Extent,,0.1,a. Index of Multiple Deprivation (IMD)
E06000042,2015,Scale,,34543,b. Income Deprivation Domain
E07000074,2015, Local concentration,,23812,a. Index of Multiple Deprivation (IMD)
E09000011,2015,Rank of local concentration,,145,a. Index of Multiple Deprivation (IMD)
E08000037,2015,Rank of scale,,58,c. Employment Deprivation Domain
E07000197,2015,Rank of local concentration,,185,a. Index of Multiple Deprivation (IMD)
E07000118,2015,Rank of scale,,197,b. Income Deprivation Domain
E07000071,2015,Scale,,20478,b. Income Deprivation Domain
E06000003,2015, Local concentration,,32421,a. Index of Multiple Deprivation (IMD)
E07000245,2015, Local concentration,,24292,a. Index of Multiple Deprivation (IMD)
E09000006,2015,Scale,,34997,b. Income Deprivation Domain
E07000126,2015,Rank of scale,,224,b. Income Deprivation Domain
E07000245,2015,Scale,,15852,b. Income Deprivation Domain
E08000037,2015,Extent,,0.27,a. Index of Multiple Deprivation (IMD)
E08000037,2015, Local concentration,,31347,a. Index of Multiple Deprivation (IMD)
E08000037,2015,Rank of local concentration,,66,a. Index of Multiple Deprivation (IMD)
E09000015,2015,Rank of local concentration,,229,a. Index of Multiple Deprivation (IMD)
E07000123,2015,Scale,,11587,c. Employment Deprivation Domain
E07000165,2015,Scale,,5825,c. Employment Deprivation Domain
E07000070,2015, Local concentration,,25463,a. Index of Multiple Deprivation (IMD)
E06000042,2015,Scale,,15272,c. Employment Deprivation Domain
E09000015,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E06000042,2015, Local concentration,,30049,a. Index of Multiple Deprivation (IMD)
E06000003,2015,Scale,,13973,c. Employment Deprivation Domain
E07000169,2015,Scale,,7485,b. Income Deprivation Domain
E08000029,2015,Extent,,0.17,a. Index of Multiple Deprivation (IMD)
E07000070,2015,Rank of scale,,159,b. Income Deprivation Domain
E07000118,2015,Extent,,0.13,a. Index of Multiple Deprivation (IMD)
E07000123,2015,Scale,,23194,b. Income Deprivation Domain
E09000006,2015,Rank of scale,,72,b. Income Deprivation Domain
E07000208,2015,Scale,,4958,b. Income Deprivation Domain
E09000015,2015,Rank of extent,,231,a. Index of Multiple Deprivation (IMD)
E07000165,2015,Rank of extent,,255,a. Index of Multiple Deprivation (IMD)
E07000115,2015,Rank of local concentration,,244,a. Index of Multiple Deprivation (IMD)
E07000126,2015,Rank of scale,,203,c. Employment Deprivation Domain
E07000115,2015,Scale,,10967,b. Income Deprivation Domain
E06000005,2015,Scale,,17664,b. Income Deprivation Domain
E06000003,2015,Rank of local concentration,,15,a. Index of Multiple Deprivation (IMD)
E07000126,2015, Local concentration,,25969,a. Index of Multiple Deprivation (IMD)
E07000239,2015,Rank of extent,,110,a. Index of Multiple Deprivation (IMD)
E06000005,2015,Rank of extent,,84,a. Index of Multiple Deprivation (IMD)
E07000118,2015,Rank of extent,,143,a. Index of Multiple Deprivation (IMD)
E07000114,2015,Rank of scale,,96,c. Employment Deprivation Domain
E06000045,2015,Scale,,36877,b. Income Deprivation Domain
E07000118,2015,Rank of local concentration,,135,a. Index of Multiple Deprivation (IMD)
E07000118,2015,Rank of scale,,183,c. Employment Deprivation Domain
E07000071,2015,Rank of scale,,123,b. Income Deprivation Domain
E06000005,2015,Scale,,8965,c. Employment Deprivation Domain
E07000114,2015, Local concentration,,32674,a. Index of Multiple Deprivation (IMD)
E06000059,2015,Rank of local concentration,,206,a. Index of Multiple Deprivation (IMD)
E07000115,2015,Rank of scale,,229,c. Employment Deprivation Domain
E07000165,2015, Local concentration,,20564,a. Index of Multiple Deprivation (IMD)
E09000015,2015,Scale,,12083,c. Employment Deprivation Domain
E08000037,2015,Rank of scale,,66,b. Income Deprivation Domain
E07000209,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E07000203,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E09000015,2015,Rank of scale,,88,b. Income Deprivation Domain
E07000115,2015,Rank of extent,,244,a. Index of Multiple Deprivation (IMD)
E07000074,2015,Rank of local concentration,,236,a. Index of Multiple Deprivation (IMD)
E06000042,2015,Rank of scale,,74,b. Income Deprivation Domain
E06000041,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E07000126,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E09000004,2015,Rank of scale,,98,c. Employment Deprivation Domain
E09000015,2015,Rank of scale,,105,c. Employment Deprivation Domain
E06000041,2015,Scale,,4294,c. Employment Deprivation Domain
E07000123,2015,Rank of scale,,108,c. Employment Deprivation Domain
E07000126,2015,Scale,,5750,c. Employment Deprivation Domain
E09000006,2015,Rank of local concentration,,153,a. Index of Multiple Deprivation (IMD)
E09000015,2015,Scale,,30733,b. Income Deprivation Domain
E09000004,2015,Scale,,13035,c. Employment Deprivation Domain
E07000074,2015,Scale,,2908,c. Employment Deprivation Domain
E07000116,2015,Scale,,9667,b. Income Deprivation Domain
E07000070,2015,Scale,,15155,b. Income Deprivation Domain
E08000034,2015,Rank of scale,,16,b. Income Deprivation Domain
E07000165,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E07000165,2015,Rank of local concentration,,283,a. Index of Multiple Deprivation (IMD)
E07000169,2015, Local concentration,,25153,a. Index of Multiple Deprivation (IMD)
E06000004,2015,Rank of scale,,77,b. Income Deprivation Domain
E07000197,2015, Local concentration,,26777,a. Index of Multiple Deprivation (IMD)
E06000042,2015,Extent,,0.13,a. Index of Multiple Deprivation (IMD)
E06000057,2015,Scale,,23364,c. Employment Deprivation Domain
E07000116,2015,Scale,,4550,c. Employment Deprivation Domain
E07000208,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E06000045,2015,Rank of extent,,75,a. Index of Multiple Deprivation (IMD)
E07000116,2015,Rank of local concentration,,265,a. Index of Multiple Deprivation (IMD)
E09000011,2015,Rank of scale,,52,c. Employment Deprivation Domain
E06000004,2015,Scale,,33836,b. Income Deprivation Domain
E07000239,2015,Rank of scale,,175,c. Employment Deprivation Domain
E09000014,2015,Scale,,23822,c. Employment Deprivation Domain
E09000011,2015,Rank of extent,,93,a. Index of Multiple Deprivation (IMD)
E06000042,2015,Rank of local concentration,,118,a. Index of Multiple Deprivation (IMD)
E07000118,2015, Local concentration,,29435,a. Index of Multiple Deprivation (IMD)
E07000116,2015,Rank of scale,,251,c. Employment Deprivation Domain
E06000057,2015,Rank of local concentration,,99,a. Index of Multiple Deprivation (IMD)
E07000239,2015,Scale,,6879,c. Employment Deprivation Domain
E07000125,2015,Rank of scale,,223,b. Income Deprivation Domain
E07000166,2015,Rank of extent,,237,a. Index of Multiple Deprivation (IMD)
E07000239,2015, Local concentration,,30345,a. Index of Multiple Deprivation (IMD)
E09000014,2015,Rank of local concentration,,75,a. Index of Multiple Deprivation (IMD)
E07000166,2015,Rank of scale,,313,b. Income Deprivation Domain
E07000198,2015,Scale,,5176,c. Employment Deprivation Domain
E08000034,2015,Scale,,66144,b. Income Deprivation Domain
E07000168,2015,Rank of extent,,89,a. Index of Multiple Deprivation (IMD)
E07000245,2015,Rank of local concentration,,233,a. Index of Multiple Deprivation (IMD)
E07000166,2015, Local concentration,,21682,a. Index of Multiple Deprivation (IMD)
E06000057,2015, Local concentration,,30554,a. Index of Multiple Deprivation (IMD)
E06000042,2015,Rank of scale,,83,c. Employment Deprivation Domain
E07000074,2015,Rank of extent,,245,a. Index of Multiple Deprivation (IMD)
E08000034,2015,Rank of scale,,11,c. Employment Deprivation Domain
E06000042,2015,Rank of extent,,144,a. Index of Multiple Deprivation (IMD)
E09000014,2015,Rank of extent,,28,a. Index of Multiple Deprivation (IMD)
E07000115,2015,Scale,,5152,c. Employment Deprivation Domain
E07000208,2015, Local concentration,,22289,a. Index of Multiple Deprivation (IMD)
E06000003,2015,Rank of scale,,91,c. Employment Deprivation Domain
E08000029,2015,Rank of scale,,102,b. Income Deprivation Domain
E08000037,2015,Scale,,37032,b. Income Deprivation Domain
E09000006,2015, Local concentration,,28696,a. Index of Multiple Deprivation (IMD)
E07000208,2015,Rank of local concentration,,260,a. Index of Multiple Deprivation (IMD)
E09000014,2015,Rank of scale,,40,c. Employment Deprivation Domain
E07000245,2015,Rank of scale,,157,c. Employment Deprivation Domain
E07000245,2015,Rank of scale,,152,b. Income Deprivation Domain
E07000165,2015,Scale,,11150,b. Income Deprivation Domain
E07000208,2015,Rank of extent,,259,a. Index of Multiple Deprivation (IMD)
E08000029,2015,Scale,,25287,b. Income Deprivation Domain
E07000115,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000115,2015,Rank of scale,,219,b. Income Deprivation Domain
E06000004,2015,Extent,,0.28,a. Index of Multiple Deprivation (IMD)
E07000074,2015,Scale,,6281,b. Income Deprivation Domain
E09000006,2015,Rank of extent,,162,a. Index of Multiple Deprivation (IMD)
E07000197,2015,Rank of scale,,188,c. Employment Deprivation Domain
E09000014,2015, Local concentration,,31185,a. Index of Multiple Deprivation (IMD)
E07000126,2015,Rank of extent,,205,a. Index of Multiple Deprivation (IMD)
E07000125,2015,Rank of local concentration,,115,a. Index of Multiple Deprivation (IMD)
E07000197,2015,Rank of scale,,211,b. Income Deprivation Domain
E09000006,2015,Rank of scale,,76,c. Employment Deprivation Domain
E09000014,2015,Extent,,0.41,a. Index of Multiple Deprivation (IMD)
E07000208,2015,Scale,,2549,c. Employment Deprivation Domain
E07000126,2015,Scale,,10497,b. Income Deprivation Domain
E09000014,2015,Rank of scale,,32,b. Income Deprivation Domain
E09000004,2015,Rank of extent,,180,a. Index of Multiple Deprivation (IMD)
E07000115,2015, Local concentration,,23423,a. Index of Multiple Deprivation (IMD)
E08000037,2015,Rank of extent,,73,a. Index of Multiple Deprivation (IMD)
E07000123,2015,Rank of local concentration,,59,a. Index of Multiple Deprivation (IMD)
E09000014,2015,Scale,,54160,b. Income Deprivation Domain
E07000246,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E07000077,2015, Local concentration,,16663,a. Index of Multiple Deprivation (IMD)
E09000023,2015,Rank of local concentration,,128,a. Index of Multiple Deprivation (IMD)
E08000026,2015,Scale,,58610,b. Income Deprivation Domain
E09000008,2015,Extent,,0.21,a. Index of Multiple Deprivation (IMD)
E09000023,2015,Scale,,56133,b. Income Deprivation Domain
E07000193,2015,Rank of local concentration,,151,a. Index of Multiple Deprivation (IMD)
E07000200,2015, Local concentration,,25750,a. Index of Multiple Deprivation (IMD)
E06000036,2015, Local concentration,,20267,a. Index of Multiple Deprivation (IMD)
E07000108,2015,Rank of extent,,124,a. Index of Multiple Deprivation (IMD)
E09000003,2015,Rank of scale,,42,b. Income Deprivation Domain
E09000023,2015,Rank of scale,,36,c. Employment Deprivation Domain
E07000077,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000193,2015,Rank of extent,,125,a. Index of Multiple Deprivation (IMD)
E07000068,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E09000023,2015,Scale,,24978,c. Employment Deprivation Domain
E07000108,2015,Extent,,0.17,a. Index of Multiple Deprivation (IMD)
E09000023,2015,Rank of extent,,56,a. Index of Multiple Deprivation (IMD)
E07000200,2015,Rank of extent,,206,a. Index of Multiple Deprivation (IMD)
E07000132,2015,Extent,,0.03,a. Index of Multiple Deprivation (IMD)
E08000026,2015,Rank of local concentration,,38,a. Index of Multiple Deprivation (IMD)
E07000213,2015,Rank of local concentration,,255,a. Index of Multiple Deprivation (IMD)
E07000202,2015,Extent,,0.31,a. Index of Multiple Deprivation (IMD)
E06000036,2015,Rank of scale,,253,b. Income Deprivation Domain
E07000193,2015,Extent,,0.16,a. Index of Multiple Deprivation (IMD)
E07000108,2015,Rank of scale,,143,b. Income Deprivation Domain
E07000108,2015,Rank of local concentration,,124,a. Index of Multiple Deprivation (IMD)
E07000213,2015,Rank of extent,,272,a. Index of Multiple Deprivation (IMD)
E07000170,2015,Rank of scale,,126,b. Income Deprivation Domain
E07000037,2015,Scale,,5365,c. Employment Deprivation Domain
E07000072,2015,Scale,,13512,b. Income Deprivation Domain
E07000121,2015, Local concentration,,32075,a. Index of Multiple Deprivation (IMD)
E06000051,2015,Scale,,32368,b. Income Deprivation Domain
E07000132,2015,Scale,,9939,b. Income Deprivation Domain
E06000008,2015,Scale,,15334,c. Employment Deprivation Domain
E07000246,2015,Scale,,8018,c. Employment Deprivation Domain
E07000037,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E07000077,2015,Rank of local concentration,,312,a. Index of Multiple Deprivation (IMD)
E07000214,2015,Scale,,2669,c. Employment Deprivation Domain
E09000008,2015,Rank of local concentration,,132,a. Index of Multiple Deprivation (IMD)
E08000025,2015,Rank of scale,,1,c. Employment Deprivation Domain
E07000132,2015,Rank of local concentration,,230,a. Index of Multiple Deprivation (IMD)
E07000108,2015,Scale,,8029,c. Employment Deprivation Domain
E09000008,2015,Rank of extent,,98,a. Index of Multiple Deprivation (IMD)
E06000051,2015, Local concentration,,25608,a. Index of Multiple Deprivation (IMD)
E07000038,2015,Scale,,12136,b. Income Deprivation Domain
E07000214,2015, Local concentration,,20810,a. Index of Multiple Deprivation (IMD)
E06000051,2015,Rank of local concentration,,204,a. Index of Multiple Deprivation (IMD)
E07000120,2015, Local concentration,,31957,a. Index of Multiple Deprivation (IMD)
E07000163,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000071,2015, Local concentration,,28292,a. Index of Multiple Deprivation (IMD)
E07000108,2015,Rank of scale,,145,c. Employment Deprivation Domain
E07000072,2015,Rank of scale,,181,b. Income Deprivation Domain
E06000008,2015,Rank of scale,,82,c. Employment Deprivation Domain
E09000024,2015,Rank of local concentration,,202,a. Index of Multiple Deprivation (IMD)
E07000038,2015,Rank of local concentration,,170,a. Index of Multiple Deprivation (IMD)
E07000246,2015,Scale,,16447,b. Income Deprivation Domain
E06000036,2015,Scale,,9326,b. Income Deprivation Domain
E09000024,2015,Rank of extent,,201,a. Index of Multiple Deprivation (IMD)
E06000002,2015,Rank of extent,,5,a. Index of Multiple Deprivation (IMD)
E06000051,2015,Scale,,15514,c. Employment Deprivation Domain
E07000200,2015,Rank of scale,,276,c. Employment Deprivation Domain
E09000002,2015,Rank of scale,,46,b. Income Deprivation Domain
E06000051,2015,Rank of scale,,83,b. Income Deprivation Domain
E07000193,2015,Scale,,6715,c. Employment Deprivation Domain
E07000108,2015,Scale,,16723,b. Income Deprivation Domain
E08000036,2015,Scale,,30221,c. Employment Deprivation Domain
E06000051,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E07000038,2015,Extent,,0.09,a. Index of Multiple Deprivation (IMD)
E07000132,2015,Rank of extent,,229,a. Index of Multiple Deprivation (IMD)
E08000025,2015,Scale,,262497,b. Income Deprivation Domain
E07000202,2015,Scale,,21825,b. Income Deprivation Domain
E07000120,2015,Scale,,15031,b. Income Deprivation Domain
E07000246,2015,Rank of extent,,177,a. Index of Multiple Deprivation (IMD)
